File_Name,Article_Link,Article_Snippet,Question,Answer,Distractors,Comments,prompt,completion
Americans’ perceptions of their country’s allies and enemies are hard to change,,"Voters’ perceptions of Mr Trump’s attitudes towards other countries tend to be starkly different from their own. ... In contrast, they see him as friendlier towards North Korea and Russia than they would appear to like.",How do voters perceive President Trump's attitude towards North Korea and Russia compared to their own?,Friendlier,"Unfriendlier, Hostile, Neutral",GPT might be more sensitive to numeric information,"Voters’ perceptions of Mr Trump’s attitudes towards other countries tend to be starkly different from their own. ... In contrast, they see him as friendlier towards North Korea and Russia than they would appear to like.",How do voters perceive President Trump's attitude towards North Korea and Russia compared to their own?
America’s economics profession still has a problem with diversity,,"The report, by Louise Sheiner, David Wessel and Michael Ng, finds that America’s government employs a more diverse array of economists than do its universities.",How does the diversity of economists employed by America's government compare to that employed by its universities?,More diverse,"Less diverse, Same diversity, Not applicable",,"The report, by Louise Sheiner, David Wessel and Michael Ng, finds that America’s government employs a more diverse array of economists than do its universities.",How does the diversity of economists employed by America's government compare to that employed by its universities?
America’s economics profession still has a problem with diversity,,"for example, why the Government Accountability Office should be the only agency that the authors find has a majority female share of its PhD economists. ",Which is the only agency that has a majority female share of its PhD economists?,Government Accountability Office,"Department of Education, Federal Reserve, Department of Labor",rephrase the generated question,"for example, why the Government Accountability Office should be the only agency that the authors find has a majority female share of its PhD economists. ",Which is the only agency that has a majority female share of its PhD economists?
America’s economics profession still has a problem with diversity,,"Just 12% of the economists employed at the San Francisco Federal Reserve are minorities, compared with 41% at the Philadelphia branch.",What is the difference in the percentage of minority economists employed at the San Francisco Federal Reserve and the Philadelphia branch?,29%,"12%, 41%, 53%",,"Just 12% of the economists employed at the San Francisco Federal Reserve are minorities, compared with 41% at the Philadelphia branch.",What is the difference in the percentage of minority economists employed at the San Francisco Federal Reserve and the Philadelphia branch?
America's gender wage gap,,"Only in the fields of ""stock clerks and order fillers"" and ""bookkeeping, accounting and auditing clerks"" did women make slightly more than their male counterparts.",In which fields do women make more than their male counterparts?,Stock clerks and order fillers,"Cashiers, Retail salespersons, Waiters and waitresses","the original GPT output: In which fields did women make slightly more than their male counterparts?Answer: Stock clerks and order fillers and bookkeeping, accounting and auditing clerks; Distractors: Secretaries and administrative assistants, Cashiers, Customer service representatives

cannot handle two answers","Only in the fields of ""stock clerks and order fillers"" and ""bookkeeping, accounting and auditing clerks"" did women make slightly more than their male counterparts.",In which fields do women make more than their male counterparts?
America's gender wage gap,,The gender wage gap (women's earnings as a percentage of men's) was most pronounced amongst CEOs and financial managers.,What job had the most pronounced gender wage gap in 2011?,Financial managers,"Cooks, Social workers, Retail salespersons",,The gender wage gap (women's earnings as a percentage of men's) was most pronounced amongst CEOs and financial managers.,What job had the most pronounced gender wage gap in 2011?
America’s global standing plummets under Donald Trump,,"A new survey by the Pew Research Centre of 40,447 people in 37 countries shows that trust in Mr Trump pales in comparison with Barack Obama’s final ratings. Of all the countries surveyed by Pew, Mr Trump’s worst ratings come from Mexico.",In which country did Mr Trump have his worst ratings according to a Pew Research Centre survey?,Mexico,"United States, Canada, France",the first sentence of the snippet is added by hand,"A new survey by the Pew Research Centre of 40,447 people in 37 countries shows that trust in Mr Trump pales in comparison with Barack Obama’s final ratings. Of all the countries surveyed by Pew, Mr Trump’s worst ratings come from Mexico.",In which country did Mr Trump have his worst ratings according to a Pew Research Centre survey?
America’s global standing plummets under Donald Trump,,"Even in countries where he is mostly despised, Mr Trump still found some support from those who share his ideology. Across Europe, people with favourable views of their hometown populist party have much higher appraisals for Mr Trump.",What group of people have the highest appraisals for Mr Trump in Europe?,People with favourable views of their hometown populist party,"People with favourable views of the United States, People with favourable views of the Republican Party, People with favourable views of  Conservative parties",,"Even in countries where he is mostly despised, Mr Trump still found some support from those who share his ideology. Across Europe, people with favourable views of their hometown populist party have much higher appraisals for Mr Trump.",What group of people have the highest appraisals for Mr Trump in Europe?
America’s segregated labour market,,"The fastest-growing industries in America are those that have long employed more women, such as health care and education.",Which feature do the fastest-growing industries in America have?,They employ more women,"They are high-tech industries, They require specialized knowledge, They are low-wage jobs",GPT cannot generate a question involving "women","The fastest-growing industries in America are those that have long employed more women, such as health care and education.",Which feature do the fastest-growing industries in America have?
America’s segregated labour market,,"In the 1960s, less than 10% of American doctors and lawyers were women. Today, the figure is closer to 40%. ",How has the percentage of American doctors and lawyers that are women changed from the 1960s to today?,increased around 30%,"increased around 50%, decreased around 10%, increased around 10%",,"In the 1960s, less than 10% of American doctors and lawyers were women. Today, the figure is closer to 40%. ",How has the percentage of American doctors and lawyers that are women changed from the 1960s to today?
An energised industry,,"Yet the biggest source of renewable electricity, hydropower, and the smallest, geothermal, both only added 3% to capacity. ",What was the largest source of renewable electricity in 2010?,Hydropower,"Solar, Wind, Geothermal",GPT will add "in 2018" automatically,"Yet the biggest source of renewable electricity, hydropower, and the smallest, geothermal, both only added 3% to capacity. ",What was the largest source of renewable electricity in 2010?
And God created,," Religion is a huge determinant: 67% of white evangelical protestants and half of black protestants are creationists, compared with only 15% among white, mainstream ","How many times more likely are white evangelical protestants to be creationists compared to white, mainstream protestants?",4.5 times,"2.5 times, 3 times, 5 times",added "how many times" by hand," Religion is a huge determinant: 67% of white evangelical protestants and half of black protestants are creationists, compared with only 15% among white, mainstream ","How many times more likely are white evangelical protestants to be creationists compared to white, mainstream protestants?"
